Method,MSE z1,MSE z2,Total 2-plane loss,Amp mean,Amp max,Amp min,TV
True object,0.0,0.0,0.0,0.02691650390625,1.0,0.0,0.0012842465657740831
2z + support + amp + TV,0.00019236301886849105,0.0003363957512192428,0.0005287587700877339,0.029335523024201393,1.7108469009399414,0.0,0.0037626968696713448
2z + support + amp,0.000229742843657732,0.00041325821075588465,0.0006430010544136167,0.029536545276641846,1.5960286855697632,0.0,0.0036162794567644596
2z + support + amp + TV + bound,0.002489739330485463,0.0024304247926920652,0.004920164123177528,0.02680780366063118,0.8472510576248169,0.0,0.0018144531641155481
2z + support,0.003619174938648939,0.0029584274161607027,0.006577602354809642,0.029278244823217392,1.7178418636322021,0.0,0.022358667105436325
